import time: self [us] | cumulative | imported package
import time:      4460 |     127200 |             matplotlib.contour
import time:      2956 |       2956 |             matplotlib.spines
import time:      3860 |     184607 |           matplotlib.colorbar
import time:      6788 |       6788 |           matplotlib.image
import time:      1342 |       1342 |                   importlib.resources.abc
import time:      1036 |       1036 |                   importlib.resources._adapters
import time:       996 |       3373 |                 importlib.resources._common
import time:       907 |        907 |                 importlib.resources._legacy
import time:      1089 |       5368 |               importlib.resources
import time:     20296 |      25663 |             matplotlib.style.core
import time:      1297 |      26959 |           matplotlib.style
import time:       897 |        897 |             matplotlib._blocking_input
import time:      9294 |       9294 |                   matplotlib.offsetbox
import time:      3854 |       3854 |                         _decimal
import time:       974 |       4827 |                       decimal
import time:      1130 |       5957 |                     matplotlib.units
import time:     10071 |      16028 |                   matplotlib.axis
import time:      1690 |       1690 |                   matplotlib.gridspec
import time:      3928 |       3928 |                   matplotlib.table
import time:      6429 |      37368 |                 matplotlib.axes._base
import time:       985 |        985 |                             importlib._abc
import time:       184 |       1168 |                           importlib.util
import time:      2177 |       3345 |                         six
import time:       839 |        839 |                         dateutil._common
import time:        55 |         55 |                           six.moves
import time:       909 |        909 |                           dateutil.tz._common
import time:       780 |        780 |                           dateutil.tz._factories
import time:      2119 |       2119 |                             ctypes.wintypes
import time:      1711 |       3829 |                           dateutil.tz.win
import time:      1596 |       7167 |                         dateutil.tz.tz
import time:      3823 |      15173 |                       dateutil.parser._parser
import time:      1214 |       1214 |                       dateutil.parser.isoparser
import time:       981 |      17368 |                     dateutil.parser
import time:      1251 |      18618 |                   matplotlib.category
import time:        67 |         67 |                         _heapq
import time:      1066 |       1133 |                       heapq
import time:      1781 |       2914 |                     dateutil.rrule
import time:      1732 |       4645 |                   matplotlib.dates
import time:      1806 |       1806 |                   matplotlib.inset
import time:      1124 |       1124 |                     matplotlib.container
import time:      1461 |       1461 |                     matplotlib.legend_handler
import time:      3103 |       5687 |                   matplotlib.legend
import time:      1305 |       1305 |                   matplotlib.mlab
import time:      6040 |       6040 |                   matplotlib.quiver
import time:       983 |        983 |                   matplotlib.stackplot
import time:      1123 |       1123 |                   matplotlib.streamplot
import time:      1023 |       1023 |                     matplotlib.tri._triangulation
import time:      2142 |       2142 |                     matplotlib.tri._tricontour
import time:      1048 |       1048 |                     matplotlib.tri._trifinder
import time:      1786 |       1786 |                       matplotlib.tri._tritools
import time:      1847 |       3633 |                     matplotlib.tri._triinterpolate
import time:      1853 |       1853 |                     matplotlib.tri._tripcolor
import time:       955 |        955 |                     matplotlib.tri._triplot
import time:       867 |        867 |                     matplotlib.tri._trirefine
import time:       863 |      12379 |                   matplotlib.tri
import time:      3578 |       3578 |                   matplotlib.axes._secondary_axes
import time:     18161 |      74322 |                 matplotlib.axes._axes
import time:      1532 |     113221 |               matplotlib.axes
import time:     11839 |      11839 |               matplotlib.projections.geo
import time:     11838 |      11838 |               matplotlib.projections.polar
import time:      1166 |       1166 |                 mpl_toolkits
import time:      1234 |       1234 |                     mpl_toolkits.mplot3d.proj3d
import time:     13915 |      15148 |                   mpl_toolkits.mplot3d.art3d
import time:      7509 |       7509 |                   mpl_toolkits.mplot3d.axis3d
import time:      8834 |      31490 |                 mpl_toolkits.mplot3d.axes3d
import time:      1473 |      34128 |               mpl_toolkits.mplot3d
import time:      1143 |     172167 |             matplotlib.projections
import time:      6385 |     179448 |           matplotlib.figure
import time:     10858 |     650787 |         matplotlib.pyplot
import time:      1233 |       1233 |           mediapipe.framework
import time:      1362 |       2595 |         mediapipe.framework.formats
import time:      1106 |       1106 |             google.protobuf.reflection
import time:      1340 |       2446 |           google.protobuf.internal.builder
import time:       708 |        708 |             mediapipe.framework.formats.annotation
import time:      1195 |       1195 |             mediapipe.framework.formats.annotation.rasterization_pb2
import time:       871 |       2773 |           mediapipe.framework.formats.location_data_pb2
import time:      1382 |       6600 |         mediapipe.framework.formats.detection_pb2
import time:       938 |        938 |         mediapipe.framework.formats.landmark_pb2
import time:      2410 |     664833 |       mediapipe.python.solutions.drawing_utils
import time:       762 |        762 |           mediapipe.calculators
import time:       816 |       1577 |         mediapipe.calculators.core
import time:       712 |        712 |             mediapipe.framework.calculator_options_pb2
import time:       705 |        705 |             google.protobuf.any_pb2
import time:       848 |        848 |             mediapipe.framework.mediapipe_options_pb2
import time:       811 |        811 |             mediapipe.framework.packet_factory_pb2
import time:       785 |        785 |             mediapipe.framework.packet_generator_pb2
import time:       657 |        657 |             mediapipe.framework.status_handler_pb2
import time:       687 |        687 |             mediapipe.framework.stream_handler_pb2
import time:      1033 |       6235 |           mediapipe.framework.calculator_pb2
import time:       827 |        827 |           mediapipe.framework.formats.classification_pb2
import time:       822 |        822 |           mediapipe.framework.formats.matrix_data_pb2
import time:      1851 |       1851 |           mediapipe.framework.formats.time_series_header_pb2
import time:      1269 |      11003 |         mediapipe.calculators.core.constant_side_packet_calculator_pb2
import time:       899 |        899 |         mediapipe.calculators.core.gate_calculator_pb2
import time:      1731 |       1731 |         mediapipe.calculators.core.split_vector_calculator_pb2
import time:      1593 |       1593 |         mediapipe.calculators.tensor
import time:       748 |        748 |           mediapipe.gpu
import time:      1114 |       1114 |           mediapipe.gpu.gpu_origin_pb2
import time:      1438 |       3300 |         mediapipe.calculators.tensor.image_to_tensor_calculator_pb2
import time:      1088 |       1088 |         mediapipe.calculators.tensor.inference_calculator_pb2
import time:       612 |        612 |           mediapipe.util
import time:       836 |        836 |           mediapipe.util.label_map_pb2
import time:       857 |       2304 |         mediapipe.calculators.tensor.tensors_to_classification_calculator_pb2
import time:       820 |        820 |         mediapipe.calculators.tensor.tensors_to_detections_calculator_pb2
import time:       739 |        739 |         mediapipe.calculators.tensor.tensors_to_landmarks_calculator_pb2
import time:       645 |        645 |         mediapipe.calculators.tflite
import time:       728 |        728 |           mediapipe.framework.formats.object_detection
import time:       919 |        919 |           mediapipe.framework.formats.object_detection.anchor_pb2
import time:      1181 |       2827 |         mediapipe.calculators.tflite.ssd_anchors_calculator_pb2
import time:       652 |        652 |         mediapipe.calculators.util
import time:      1715 |       1715 |         mediapipe.calculators.util.association_calculator_pb2
import time:      1789 |       1789 |         mediapipe.calculators.util.detections_to_rects_calculator_pb2
import time:       936 |        936 |         mediapipe.calculators.util.logic_calculator_pb2
import time:      1066 |       1066 |         mediapipe.calculators.util.non_max_suppression_calculator_pb2
import time:       897 |        897 |         mediapipe.calculators.util.rect_transformation_calculator_pb2
import time:       739 |        739 |         mediapipe.calculators.util.thresholding_calculator_pb2
import time:       738 |        738 |           mediapipe.calculators.image
import time:       845 |        845 |             mediapipe.calculators.image.rotation_mode_pb2
import time:       653 |        653 |             mediapipe.gpu.scale_mode_pb2
import time:      1095 |       2593 |           mediapipe.calculators.image.image_transformation_calculator_pb2
import time:       863 |        863 |           mediapipe.calculators.util.landmarks_smoothing_calculator_pb2
import time:       773 |        773 |           mediapipe.framework.formats.body_rig_pb2
import time:       762 |        762 |           mediapipe.framework.formats.rect_pb2
import time:       557 |        557 |               mediapipe.modules
import time:       766 |       1322 |             mediapipe.modules.objectron
import time:       844 |       2166 |           mediapipe.modules.objectron.calculators
import time:      1949 |       1949 |             mediapipe.modules.objectron.calculators.a_r_capture_metadata_pb2
import time:      1431 |       1431 |             mediapipe.modules.objectron.calculators.object_pb2
import time:      1484 |       4864 |           mediapipe.modules.objectron.calculators.annotation_data_pb2
import time:       864 |        864 |             mediapipe.modules.objectron.calculators.belief_decoder_config_pb2
import time:       924 |       1788 |           mediapipe.modules.objectron.calculators.lift_2d_frame_annotation_to_3d_calculator_pb2
import time:      1707 |      16249 |         mediapipe.python.solution_base
import time:      2473 |      55035 |       mediapipe.python.solutions.hands
import time:       740 |        740 |         mediapipe.calculators.image.warp_affine_calculator_pb2
import time:       717 |        717 |         mediapipe.calculators.tensor.tensors_to_segmentation_calculator_pb2
import time:       748 |        748 |         mediapipe.calculators.util.local_file_contents_calculator_pb2
import time:      1042 |       1042 |         mediapipe.calculators.util.visibility_smoothing_calculator_pb2
import time:       849 |        849 |         mediapipe.framework.tool
import time:      1046 |       1046 |         mediapipe.framework.tool.switch_container_pb2
import time:      1347 |       1347 |             email
import time:      1859 |       1859 |               http
import time:       956 |        956 |                   email.errors
import time:       755 |        755 |                       email.quoprimime
import time:       750 |        750 |                       email.base64mime
import time:       874 |        874 |                           quopri
import time:       686 |       1560 |                         email.encoders
import time:       873 |       2433 |                       email.charset
import time:      1201 |       5137 |                     email.header
import time:       913 |        913 |                       email._parseaddr
import time:      1110 |       2023 |                     email.utils
import time:       964 |       8123 |                   email._policybase
import time:      1252 |      10330 |                 email.feedparser
import time:      1160 |      11489 |               email.parser
import time:      1098 |       1098 |                 email._encoded_words
import time:      1254 |       1254 |                 email.iterators
import time:      1462 |       3813 |               email.message
import time:      6638 |       6638 |                 _ssl
import time:      3803 |      10440 |               ssl
